,cl_16,bl1_0,cl_1,bl1_1,cl_8,bl1_2,cl_6,bl1_3,cl_23,bl1_4,cl_34,bl1_5,cl_2,bl1_6,cl_14,bl1_7,cl_10,bl1_8,cl_26,bl1_9,cl_24,bl1_10,cl_7,bl1_11,cl_22,bl1_12,cl_11,bl1_13,cl_4,bl1_14
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Java-Compiler,,Ausgabeanweisungen,,Maschinenprogrammen,,Open-Source-Software,,Betriebssystem,,Prinzip,,Voraussetzung,,Algorithmus,,Speicheradresse,,Dokumentation,,Unterprogramm,,Begriff,,Projektphasen,,Form,,Mittel,
5,Precompiler,,Performanzanalyse,,EDVAC-Rechner,,Anwendungssoftware,,Apple-Rechnern,,Ziel,,Problemlösung,,Iteration,,Variable,,Analyse,,Programmausführung,,Ausdruck,,Anwendungssystems,,Version,,Verfahren,
6,Laufzeitumgebungen,,User-Interaktion,,Stapelprogramme,,Software,,Großrechnern,,Beispiel,,Funktion,,Iterationsverfahren,,SQL-Anweisungen,,Erstellung,,Hauptprogramme,,Sinn,,Produktlebenszyklus,,Variante,,Werkzeug,
7,Programmcode,,Endanwendersicht,,Maschinenprogramme,,Individualsoftware,,Prozessor,,Kriterium,,Möglichkeit,,Ggt-algorithmus,,Eingabedaten,,Anpassung,,Programmstruktur,,Zweck,,Software-Lebenszyklus,,Untervariante,,Anwendung,
8,Maschinencodes,,Einrückungsstil,,Quellprogramme,,Computerprogramm,,Computer,,Konzept,,Eigenschaft,,Rechenschritt,,Byte-Reihenfolge,,Entwicklung,,Unterprogramme,,Bedeutung,,Anforderungsanalyse,,Ausführung,,Methode,
9,Bytecode,,Codeerstellung,,Dialogprogramme,,Quelloffene-software,,Desktop-Bereich,,Ergebnis,,Aufgabe,,Iterator,,Datenstruktur,,Aktualisierung,,Programm,,,,,,,,,
10,Java-Programme,,Entwicklertest,,Binärprogramm,,Programmiersprache,,Rechner,,Rechnerkonzept,,Lösung,,Iterationsmethode,,Hilfsvariable,,Neuentwicklung,,,,,,,,,,,
11,Programm-Quellcode,,Erstellungsmöglichkeit,,EDSAC-Rechner,,"Open-Source""-Lizenz",,Server-Bereich,,System,,Problem,,Rechenoperation,,,,,,,,,,,,,,,
12,Compilezeit,,Originalanweisungen,,Binärprogramme,,Programmierung,,Arbeitsplatzrechner,,,,,,,,,,,,,,,,,,,,,
13,Obfuscator,,Programmierdokumentation,,Hardwareumgebungen,,Programmierumgebung,,,,,,,,,,,,,,,,,,,,,,,
14,Code,,Quellcodeanweisung,,Rechnerumgebungen,,Programmierer,,,,,,,,,,,,,,,,,,,,,,,
